Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Connexion,Chrome 69.0.3497.100,,2018-10-20 12:29:10,2018-10-20 12:30:11,"1m - 1,103s",PASSED
,,,,,,
Test Cases/Connexion/Chargement_Page_Connexion,Chrome 69.0.3497.100,,2018-10-20 12:29:10,2018-10-20 12:29:40,"29,692s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-20 12:29:11,2018-10-20 12:29:12,"1,552s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-20 12:29:12,2018-10-20 12:29:12,"0,228s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-20 12:29:12,2018-10-20 12:29:29,"16,766s",PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-20 12:29:29,2018-10-20 12:29:29,"0,033s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:29:29,2018-10-20 12:29:35,"5,566s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:29:35,2018-10-20 12:29:40,"5,243s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:29:40,2018-10-20 12:29:40,"0,040s",PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-20 12:29:40,2018-10-20 12:29:40,"0,031s",PASSED
,,,,,,
Test Cases/Connexion/Connexion,Chrome 69.0.3497.100,,2018-10-20 12:29:40,2018-10-20 12:30:11,"31,055s",PASSED
callTestCase,Chrome 69.0.3497.100,,2018-10-20 12:29:40,2018-10-20 12:30:09,"28,660s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-20 12:30:09,2018-10-20 12:30:09,"0,122s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-20 12:30:09,2018-10-20 12:30:09,"0,101s",PASSED
click,Chrome 69.0.3497.100,,2018-10-20 12:30:09,2018-10-20 12:30:09,"0,075s",PASSED
delay,Chrome 69.0.3497.100,,2018-10-20 12:30:09,2018-10-20 12:30:11,"2,009s",PASSED
