Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ALCATEL(G-240W-A),Chrome 73.0.3683.86,,2019-03-22 18:20:08,2019-03-22 18:21:56,"1m - 48,392s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/1-LOGIN,Chrome 73.0.3683.86,,2019-03-22 18:20:08,2019-03-22 18:21:40,"1m - 32,014s",FAILED
"callTestCase(findTestCase(""Recherche/AccesRecherche""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-22 18:20:09,2019-03-22 18:21:40,"1m - 31,633s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/2-SN,Chrome 73.0.3683.86,,2019-03-22 18:21:40,2019-03-22 18:21:42,"2,180s",FAILED
"setText(findTestObject(""Page_Recherche/input_Numro de srie_form-contr""), SN_ALCL)",Chrome 73.0.3683.86,,2019-03-22 18:21:40,2019-03-22 18:21:42,"2,038s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/3-MAC,Chrome 73.0.3683.86,,2019-03-22 18:21:42,2019-03-22 18:21:45,"2,158s",FAILED
"setText(findTestObject(""Page_Recherche/input_Adresse MAC_form-control""), MAC_ALCL)",Chrome 73.0.3683.86,,2019-03-22 18:21:42,2019-03-22 18:21:45,"2,035s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/4-ND,Chrome 73.0.3683.86,,2019-03-22 18:21:45,2019-03-22 18:21:47,"2,155s",FAILED
"setText(findTestObject(""Page_Recherche/input_Numro de tlphone_form-co""), ND_ALCL)",Chrome 73.0.3683.86,,2019-03-22 18:21:45,2019-03-22 18:21:47,"2,030s",FAILED
,,,,,,
Test Cases/Recherche/ALCL (G-240W-A)/6-CONSTRUCTEUR,Chrome 73.0.3683.86,,2019-03-22 18:21:47,2019-03-22 18:21:55,"8,648s",FAILED
"callTestCase(findTestCase(""Recherche/AccesRecherche""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-03-22 18:21:47,2019-03-22 18:21:55,"8,542s",FAILED
